,citys,rain_mean,windspeed_mean,lat,lon
0,Mont Saint-Michel,1.2700000000000002,6.55875,48.6359541,-1.511459954959514
1,Saint-Malo,0.8283333333333335,7.032500000000001,48.649518,-2.0260409
2,Bayeux,1.5266666666666666,6.734999999999999,49.2764624,-0.7024738
3,Le Havre,2.16,6.992500000000001,49.4938975,0.1079732
4,Rouen,0.7233333333333333,7.08625,49.4404591,1.0939658
5,Paris,3.5549999999999997,4.772499999999999,48.8534951,2.3483915
6,Amiens,0.7366666666666667,6.95875,49.8941708,2.2956951
7,Lille,0.7933333333333333,7.04875,50.6365654,3.0635282
8,Strasbourg,4.0575,4.82125,48.584614,7.7507127
9,Château du Haut-Kœnigsbourg,2.6275,4.0225,48.2495226,7.3454923
